K-051		K-051 · DRIFT · Small — The rendering directive describes a page-turn built on Core Image. The app builds it on Readium, a screenshot and Metal instead. The document was never updated; the code is almost certainly the right one. §3
K-052		K-052 · DRIFT · Medium — Two separate routes for getting a book into the library exist in the code, and only one of them runs. The other is left over from before folder-as-shelf.
K-053		K-053 · DRIFT · Medium — The directive describes Collections you make yourself. The app uses iCloud folders as shelves instead, and the Collections code sits unused. One of the two should go. §8.3
K-054		K-054 · DRIFT · Small — The same issue as K-015, from the documents' side: Module 7 states a rule about your reading place that the code does not follow.
K-055	v1.0 · docs · Undirected subsystems	K-055 · DRIFT · Large — Five working parts of the reader were never written down as a design, only described in the daily log. Nothing is broken; but if one needs changing, there is no spec to check it against. HANDOFF §13.x
K-056		K-056 · DRIFT · Small — Codex stops books from calling out to the internet, and the manual promises exactly that. The promise is specified nowhere but a single ledger entry. HANDOFF §13.70
K-057		K-057 · 01.1 §A2, past spec in places
K-058		K-058 · §2.6
K-059		K-059 · Gate 1
K-060		K-060 · §2.9
K-061		K-061 · §4.6
K-062		K-062 · §4.4
K-063		K-063 · partial for §4.3
K-064		K-064 · 2026-08-26
K-065		K-065 · 2026-08-26
K-066		K-066 · §3.6, addendum §3.1
K-067		K-067 · HANDOFF §13.69
K-068		K-068 · §6
K-069		K-069 · Module 6 §2
K-070		K-070 · §2.3
K-071		K-071 · §3.3
K-072		K-072 · §4
K-073		K-073 · Module 5 §4.1, gate 3
K-074		K-074 · §3
K-075		K-075 · §2.1 — wired 2026-08-26
K-076		K-076 · 2026-08-26
K-077		K-077 · 2026-08-26
K-078		K-078 · §5 — 2026-08-26
K-079		K-079 · §8.1, §8.2
K-080		K-080 · 2026-08-26
K-081		K-081 · Addendum A
K-082		K-082 · §4.1–4.3
K-083		K-083 · §5.1
K-084		K-084 · §5.4
K-085		K-085 · HANDOFF §13.70 — no directive
K-086		K-086 · Module 5 §8
K-087		K-087 · 2026-08-25
K-088		K-088 · 2026-08-26
K-089		K-089 · 2026-08-26
K-090		K-090 · 2026-08-26
K-091		K-091 · scripts/build_manual_epub.py
K-092		K-092 · Small — The Now Reading shelf does not say whether you last read a book on the iPad or the iPhone. The position record already carries the device name, so this is a marker on the cover, not new plumbing. Needs K-041.
